REM2	NM_173527	['ENST00000536884', 'ENST00000267396']
NPC2	NM_006432	['ENST00000555619']
NPC1	NM_000271	['ENST00000269228', 'ENST00000593280']
SKIV2L	NM_006929	['ENST00000383336', 'ENST00000421789', 'ENST00000429465', 'ENST00000375394', 'ENST00000412823', 'ENST00000448219']
TTC4	NM_004623	['ENST00000371281']
TTC1	NM_003314	['ENST00000231238']
IL4R	NM_000418	['ENST00000395762']
TTC3	NM_001001894	['ENST00000354749', 'ENST00000479930', 'ENST00000355666']
RAB3GAP1	NM_012233	['ENST00000487003', 'ENST00000264158']
ATP10D	NM_020453	['ENST00000504445', 'ENST00000273859']
ATP8B4	NM_024837	['ENST00000284509']
TTC8	NM_144596	['ENST00000345383']
TTC8	NM_198309	['ENST00000556077', 'ENST00000338104', 'ENST00000345383']
CAPS	NM_004058	['ENST00000222125']
DAG1	NM_004393	['ENST00000538711']
DYNC1LI2	NM_006141	['ENST00000440564', 'ENST00000258198']
CHDH	NM_018397	['ENST00000315251']
EFHC1	NM_018100	['ENST00000433625', 'ENST00000371068']
CAPG	NM_001747	['ENST00000409724', 'ENST00000263867']
TPRKB	NM_016058	['ENST00000272424', 'ENST00000318190', 'ENST00000409716']
ETHE1	NM_014297	['ENST00000600651', 'ENST00000292147']
PRDM16	NM_022114	['ENST00000441472']
MPG	NM_002434	['ENST00000219431']
ABCG2	NM_004827	['ENST00000237612']
PRDM15	NM_001040424	['ENST00000538201', 'ENST00000398548', 'ENST00000422911']
ABCG4	NM_022169	['ENST00000307417']
ABCG5	NM_022436	['ENST00000260645', 'ENST00000543989', 'ENST00000405322']
PRDM10	NM_020228	['ENST00000358825']
ABCG8	NM_022437	['ENST00000272286']
MPO	NM_000250	['ENST00000225275']
MPL	NM_005373	['ENST00000413998', 'ENST00000372470']
AVP	NM_000490	['ENST00000380293']
MPI	NM_002435	['ENST00000352410', 'ENST00000563422', 'ENST00000564003', 'ENST00000323744', 'ENST00000566377']
CPT1A	NM_001876	['ENST00000265641']
POLRMT	NM_005035	['ENST00000588649']
LMAN1	NM_005570	['ENST00000251047', 'ENST00000587561']
MPZ	NM_000530	['ENST00000533357']
MCPH1	NM_024596	['ENST00000344683']
KDM1A	NM_001009999	['ENST00000400181']
KDM1B	NM_153042	['ENST00000297792', 'ENST00000397244', 'ENST00000388870']
OR1S1	NM_001004458	['ENST00000309433']
OR1S2	NM_001004459	['ENST00000302592']
GRASP	NM_181711	['ENST00000293662']
QRSL1	NM_018292	['ENST00000369046', 'ENST00000369044']
FCER1A	NM_002001	['ENST00000368115']
BTG2	NM_006763	['ENST00000290551']
AKR1B15	NM_001080538	['ENST00000457545', 'ENST00000467156']
SRD5A3	NM_024592	['ENST00000264228']
SRD5A2	NM_000348	['ENST00000405650']
HELLS	NM_018063	['ENST00000348459']
ZFP36L1	NM_004926	['ENST00000439696']
GGA3	NM_138619	['ENST00000245541']
C10orf90	NM_001004298	['ENST00000454341', 'ENST00000284694', 'ENST00000368674', 'ENST00000544758']
C15orf41	NM_001130010	['ENST00000566621']
FHOD3	NM_025135	['ENST00000592128', 'ENST00000257209', 'ENST00000592930', 'ENST00000591635', 'ENST00000589114']
ADH7	NM_000673	['ENST00000209665']
ADH5	NM_000671	['ENST00000296412', 'ENST00000508511']
ADH4	NM_000670	['ENST00000265512', 'ENST00000508393']
PKD2	NM_000297	['ENST00000237596']
PKD1	NM_001009944	['ENST00000262304']
GJC2	NM_020435	['ENST00000366714']
GJC3	NM_181538	['ENST00000312891']
GJC1	NM_005497	['ENST00000426548']
PRKACG	NM_002732	['ENST00000377276']
PRKACA	NM_002730	['ENST00000308677', 'ENST00000536649']
PSMB9	NM_002800	['ENST00000484631', 'ENST00000495780', 'ENST00000488916', 'ENST00000444284', 'ENST00000374859', 'ENST00000473852', 'ENST00000427870', 'ENST00000490282', 'ENST00000453059', 'ENST00000383234', 'ENST00000434471', 'ENST00000465469', 'ENST00000464863', 'ENST00000383114', 'ENST00000493704', 'ENST00000422729']
PRKACB	NM_182948	['ENST00000370685']
PSMB7	NM_002799	['ENST00000536392', 'ENST00000259457']
PSMB4	NM_002796	['ENST00000476467', 'ENST00000290541']
ZNF135	NM_003436	['ENST00000401053', 'ENST00000313434', 'ENST00000506786']
PSMB1	NM_002793	['ENST00000462957', 'ENST00000262193']
HDHD5	NM_033070	['ENST00000336737']
TALDO1	NM_006755	['ENST00000530119', 'ENST00000319006']
TDGF1	NM_003212	['ENST00000296145']
ACKR3	NM_020311	['ENST00000272928']
RMI1	NM_024945	['ENST00000325875']
MBL2	NM_000242	['ENST00000373968']
KCNK5	NM_003740	['ENST00000359534']
MLH3	NM_001040108	['ENST00000355774']
CRY1	NM_004075	['ENST00000008527']
MLH1	NM_000249	['ENST00000231790']
KCNK3	NM_002246	['ENST00000302909']
VPS13D	NM_015378	['ENST00000358136']
NACC1	NM_052876	['ENST00000292431']
VPS13A	NM_033305	['ENST00000360280']
VPS13C	NM_020821	['ENST00000261517']
VPS13B	NM_017890	['ENST00000496144', 'ENST00000358544']
KIAA0556	NM_015202	['ENST00000567894', 'ENST00000261588']
CRYM	NM_001888	['ENST00000219599', 'ENST00000574448']
KLK3	NM_001648	['ENST00000601349', 'ENST00000422986']
TMEM165	NM_018475	['ENST00000381334']
FOXN4	NM_213596	['ENST00000299162', 'ENST00000355216']
FOXN1	NM_003593	['ENST00000226247']
FOXN3	NM_001085471	['ENST00000345097']
PMVK	NM_006556	['ENST00000368467']
GRIN2B	NM_000834	['ENST00000609686']
GNA14	NM_004297	['ENST00000341700']
GRIN2A	NM_000833	['ENST00000396573']
KLHDC8B	NM_173546	['ENST00000332780']
GRIN2D	NM_000836	['ENST00000263269']
GNA11	NM_002067	['ENST00000078429']
SH2B3	NM_005475	['ENST00000341259']
TAP1	NM_000593	['ENST00000418205', 'ENST00000425148', 'ENST00000414467', 'ENST00000439781', 'ENST00000354258', 'ENST00000383235', 'ENST00000428324', 'ENST00000424897', 'ENST00000440894']
TAP2	NM_000544	['ENST00000443713', 'ENST00000374897', 'ENST00000455842', 'ENST00000457634', 'ENST00000383118', 'ENST00000419142', 'ENST00000383239', 'ENST00000452371']
CHTF18	NM_022092	['ENST00000455171', 'ENST00000464728', 'ENST00000471202', 'ENST00000262315']
MFGE8	NM_005928	['ENST00000268150', 'ENST00000539437']
SH2B1	NM_001145795	['ENST00000337120', 'ENST00000322610']
SH2B1	NM_001145797	['ENST00000359285', 'ENST00000337120']
IL6ST	NM_002184	['ENST00000381298']
FRRS1L	NM_014334	['ENST00000561981']
SBF2	NM_030962	['ENST00000533770', 'ENST00000256190', 'ENST00000526353']
ADD1	NM_014190	['ENST00000398125', 'ENST00000508684']
CDC73	NM_024529	['ENST00000367435']
SEMG1	NM_003007	['ENST00000372781']
SEMG2	NM_003008	['ENST00000372769']
WEE2	NM_001105558	['ENST00000397541']
LMBRD1	NM_018368	['ENST00000370570', 'ENST00000370577']
DAZL	NM_001351	['ENST00000399444']
TAS2R19	NM_176888	['ENST00000390673']
TAS2R16	NM_016945	['ENST00000249284']
TAS2R10	NM_023921	['ENST00000240619']
BCAT2	NM_001190	['ENST00000595376', 'ENST00000402551', 'ENST00000599246', 'ENST00000597011']
BCAT1	NM_005504	['ENST00000261192']
EDA	NM_001399	['ENST00000374552']
NEUROG1	NM_006161	['ENST00000314744']
AKAP4	NM_003886	['ENST00000358526']
AKAP5	NM_004857	['ENST00000394718']
AKAP6	NM_004274	['ENST00000557354', 'ENST00000280979']
DBNL	NM_001122956	['ENST00000494774']
AKAP1	NM_001242902	['ENST00000337714']
AKAP2	NM_001004065	['ENST00000374525']
AKAP9	NM_005751	['ENST00000356239']
CYP26A1	NM_000783	['ENST00000394139']
SMC1A	NM_006306	['ENST00000322213', 'ENST00000375340']
NFU1	NM_001002755	['ENST00000410022']
RRP1B	NM_015056	['ENST00000340648', 'ENST00000470886']
HSP90B1	NM_003299	['ENST00000299767']
TMEM132D	NM_133448	['ENST00000389441', 'ENST00000422113']
TMEM132A	NM_017870	['ENST00000005286']
PMFBP1	NM_031293	['ENST00000237353', 'ENST00000537392', 'ENST00000537465']
KLHL33	NM_001109997	['ENST00000344581']
OVGP1	NM_002557	['ENST00000369732']
LTC4S	NM_145867	['ENST00000465572']
PCLO	NM_033026	['ENST00000333891']
VSX2	NM_182894	['ENST00000261980']
CCL22	NM_002990	['ENST00000219235']
CCL26	NM_006072	['ENST00000394905']
ALPK3	NM_020778	['ENST00000258888']
ALPK2	NM_052947	['ENST00000361673']
PRPF39	NM_017922	['ENST00000355765', 'ENST00000477626', 'ENST00000554785']
CUX2	NM_015267	['ENST00000397643', 'ENST00000261726']
BRF2	NM_018310	['ENST00000220659']
BRF1	NM_001519	['ENST00000546474']
DNAJC9	NM_015190	['ENST00000372950']
CAMSAP3	NM_001080429	['ENST00000446248']
DNAJC6	NM_001256864	['ENST00000395325']
CAMSAP1	NM_015447	['ENST00000389532']
DNAJC2	NM_014377	['ENST00000475065', 'ENST00000379263']
DNAJC3	NM_006260	['ENST00000602402']
RRP12	NM_015179	['ENST00000370992']
SLC18A2	NM_003054	['ENST00000497497', 'ENST00000298472']
SLC18A1	NM_003053	['ENST00000517776', 'ENST00000276373']
DEAF1	NM_021008	['ENST00000382409', 'ENST00000527170']
RAP1B	NM_015646	['ENST00000250559']
PCARE	NM_001029883	['ENST00000331664']
ZNF831	NM_178457	['ENST00000371030']
TRIM46	NM_001256599	['ENST00000392451', 'ENST00000368383', 'ENST00000474430']
IER3IP1	NM_016097	['ENST00000256433']
COLEC12	NM_130386	['ENST00000400256']
FAM91A1	NM_144963	['ENST00000521166', 'ENST00000334705']
PET117	NM_001164811	['ENST00000432901']
ATOH7	NM_145178	['ENST00000373673']
ACAT1	NM_000019	['ENST00000265838', 'ENST00000531813', 'ENST00000299355']
ATOH1	NM_005172	['ENST00000306011']
LIMD1	NM_014240	['ENST00000273317']
RNF151	NM_174903	['ENST00000569714']
IVD	NM_002225	['ENST00000249760']
CTF1	NM_001330	['ENST00000279804']
MECP2	NM_004992	['ENST00000303391']
MECP2	NM_001110792	['ENST00000303391']
LDLR	NM_000527	['ENST00000252444']
ZPBP	NM_007009	['ENST00000046087']
IL2RA	NM_000417	['ENST00000379959', 'ENST00000256876']
ZFYVE27	NM_001002261	['ENST00000356257']
TPCN1	NM_001143819	['ENST00000550785']
TPCN2	NM_139075	['ENST00000535009', 'ENST00000294309', 'ENST00000442692']
RAB33B	NM_031296	['ENST00000305626']
SLC17A5	NM_012434	['ENST00000355773']
ZFYVE28	NM_020972	['ENST00000290974']
SLC17A1	NM_005074	['ENST00000427328', 'ENST00000244527', 'ENST00000476801']
SPAG16	NM_024532	['ENST00000331683', 'ENST00000413312']
MAP3K20	NM_016653	['ENST00000375213']
RBMXL2	NM_014469	['ENST00000306904']
TRPV3	NM_145068	['ENST00000572519', 'ENST00000381913', 'ENST00000571139']
MRAP2	NM_138409	['ENST00000257776']
CDK5RAP2	NM_018249	['ENST00000360822', 'ENST00000349780']
MYF5	NM_005593	['ENST00000228644']
MYF6	NM_002469	['ENST00000228641']
ZNF207	NM_003457	['ENST00000321233']
ERC1	NM_178039	['ENST00000543086']
CHMP4B	NM_176812	['ENST00000217402']
CHAF1B	NM_005441	['ENST00000314103']
BAD	NM_004322	['ENST00000394532']
CTSK	NM_000396	['ENST00000271651']
COBLL1	NM_014900	['ENST00000342193', 'ENST00000493868', 'ENST00000375458', 'ENST00000409184', 'ENST00000392717', 'ENST00000489955']
SLC37A3	NM_032295	['ENST00000326232', 'ENST00000429996']
CDK18	NM_002596	['ENST00000515494', 'ENST00000360066']
GFI1B	NM_004188	['ENST00000339463']
MYOD1	NM_002478	['ENST00000250003']
SLC37A4	NM_001164277	['ENST00000525102']
TOB2	NM_016272	['ENST00000327492']
CDK12	NM_016507	['ENST00000447079']
CDK13	NM_003718	['ENST00000181839']
CDK10	NM_001160367	['ENST00000353379']
CDK16	NM_006201	['ENST00000522234', 'ENST00000357227']
SULF2	NM_001161841	['ENST00000484875']
SULF1	NM_001128205	['ENST00000260128']
ST5	NM_005418	['ENST00000534127']
ST7	NM_021908	['ENST00000265437', 'ENST00000393447', 'ENST00000432298']
GZF1	NM_022482	['ENST00000338121']
ATP6V1B1	NM_001692	['ENST00000234396', 'ENST00000432367']
ATP6V1B2	NM_001693	['ENST00000276390']
NOS1AP	NM_014697	['ENST00000361897']
KCNAB1	NM_172160	['ENST00000490337']
BFSP2	NM_003571	['ENST00000302334']
BFSP1	NM_001195	['ENST00000377873']
STS	NM_000351	['ENST00000217961']
P2RY2	NM_176072	['ENST00000311131']
CTSG	NM_001911	['ENST00000552252']
MMP21	NM_147191	['ENST00000368808']
MMP20	NM_004771	['ENST00000260228']
DCAF11	NM_025230	['ENST00000446197']
HOXB13	NM_006361	['ENST00000290295']
TFG	NM_006070	['ENST00000240851']
IFT81	NM_014055	['ENST00000550156', 'ENST00000242591']
RND2	NM_005440	['ENST00000544533']
NCL	NM_005381	['ENST00000322723']
PPP3CA	NM_000944	['ENST00000512215', 'ENST00000394854']
LIF	NM_002309	['ENST00000249075']
KIAA1549	NM_001164665	['ENST00000440172', 'ENST00000242365']
LRRC41	NM_006369	['ENST00000343304', 'ENST00000498402']
LRRC40	NM_017768	['ENST00000370952']
LRRC43	NM_001098519	['ENST00000339777']
MMP23B	NM_006983	['ENST00000378675', 'ENST00000356026']
LRRC46	NM_033413	['ENST00000269025']
B3GNT3	NM_014256	['ENST00000318683']
TSFM	NM_001172696	['ENST00000454289']
ADRA2A	NM_000681	['ENST00000280155']
ADRA2B	NM_000682	['ENST00000409345']
GPATCH3	NM_022078	['ENST00000361720']
PWWP2A	NM_001130864	['ENST00000307063']
SETD6	NM_001160305	['ENST00000394266', 'ENST00000219315']
DAAM1	NM_014992	['ENST00000395125']
DAAM2	NM_001201427	['ENST00000405961', 'ENST00000274867']
HLA-DRB1	NM_002124	['ENST00000307137', 'ENST00000328980', 'ENST00000360004', 'ENST00000399450']
HLA-DRB5	NM_002125	['ENST00000374975']
CCDC151	NM_145045	['ENST00000591345']
CCDC158	NM_001042784	['ENST00000434846', 'ENST00000388914']
TUFT1	NM_020127	['ENST00000368849']
TMCO5A	NM_152453	['ENST00000559502', 'ENST00000559813', 'ENST00000319669']
MUTYH	NM_001128425	['ENST00000450313']
MTCH2	NM_014342	['ENST00000302503']
FN1	NM_212482	['ENST00000323926', 'ENST00000354785']
SYT1	NM_005639	['ENST00000261205']
SYT2	NM_177402	['ENST00000367268']
SYT7	NM_001252065	['ENST00000263846']
RHO	NM_000539	['ENST00000296271']
RHD	NM_016124	['ENST00000328664']
MEP1B	NM_005925	['ENST00000269202']
CAVIN1	NM_012232	['ENST00000357037']
CAVIN4	NM_001018116	['ENST00000307584']
NCSTN	NM_015331	['ENST00000368063', 'ENST00000467837', 'ENST00000294785']
SCHIP1	NM_001197109	['ENST00000445224']
CEP104	NM_014704	['ENST00000494653', 'ENST00000378230']
FAM189A2	NM_001127608	['ENST00000303068', 'ENST00000455972']
NBL1	NM_182744	['ENST00000548815']
TCP11L2	NM_152772	['ENST00000547153', 'ENST00000548428', 'ENST00000299045', 'ENST00000546625']
CNTROB	NM_053051	['ENST00000576922', 'ENST00000565740', 'ENST00000563694']
ANGPT2	NM_001147	['ENST00000325203']
ANGPT1	NM_001146	['ENST00000517746', 'ENST00000297450']
DRC1	NM_145038	['ENST00000288710']
PALM2	NM_001037293	['ENST00000448454']
MANSC1	NM_018050	['ENST00000535902', 'ENST00000396349']
MARC2	NM_017898	['ENST00000366913']
ATP6V0A4	NM_020632	['ENST00000310018']
ATP6V0A1	NM_001130020	['ENST00000264649']
ATP6V0A2	NM_012463	['ENST00000540368', 'ENST00000330342']
MRPS34	NM_023936	['ENST00000397375', 'ENST00000177742']
GUCA1A	NM_000409	['ENST00000053469', 'ENST00000394237']
GUCA1B	NM_002098	['ENST00000230361']
KRT75	NM_004693	['ENST00000252245']
KRT74	NM_175053	['ENST00000305620']
KRT76	NM_015848	['ENST00000332411']
KRT71	NM_033448	['ENST00000267119']
ATM	NM_000051	['ENST00000278616', 'ENST00000452508', 'ENST00000533733', 'ENST00000531525', 'ENST00000526567', 'ENST00000533690', 'ENST00000527805']
ATR	NM_001184	['ENST00000350721', 'ENST00000513291']
HAAO	NM_012205	['ENST00000406924', 'ENST00000294973']
BRIP1	NM_032043	['ENST00000577598', 'ENST00000259008']
PDE11A	NM_016953	['ENST00000286063']
TTC28	NM_001145418	['ENST00000397906']
HYPK	NM_016400	['ENST00000448830']
TTC25	NM_031421	['ENST00000591658', 'ENST00000377540']
DOT1L	NM_032482	['ENST00000398665', 'ENST00000482433']
PATL2	NM_001145112	['ENST00000434130', 'ENST00000560780', 'ENST00000558573']
TTC22	NM_001114108	['ENST00000371276']
TTC22	NM_017904	['ENST00000371274']
CARS	NM_001014437	['ENST00000380525']
PODXL2	NM_015720	['ENST00000342480']
U2SURP	NM_001080415	['ENST00000480029', 'ENST00000461591', 'ENST00000397933']
IL6R	NM_000565	['ENST00000368485']
ENO1	NM_001428	['ENST00000492343', 'ENST00000234590']
NPY2R	NM_000910	['ENST00000506608', 'ENST00000329476']
ENO3	NM_053013	['ENST00000323997', 'ENST00000521659']
CELF6	NM_052840	['ENST00000379915']
NPAT	NM_002519	['ENST00000610253', 'ENST00000278612']
TAOK2	NM_016151	['ENST00000416441', 'ENST00000308893']
TAOK3	NM_016281	['ENST00000537305', 'ENST00000392533', 'ENST00000419821']
LLGL2	NM_001031803	['ENST00000392550']
SLC22A18	NM_002555	['ENST00000312221']
LLGL1	NM_004140	['ENST00000316843']
SLC22A16	NM_033125	['ENST00000368919', 'ENST00000330550', 'ENST00000461487']
SLC22A14	NM_004803	['ENST00000273173', 'ENST00000496724']
GPT2	NM_133443	['ENST00000340124']
SLC22A12	NM_144585	['ENST00000377574']
SLC22A11	NM_018484	['ENST00000301891', 'ENST00000478051', 'ENST00000460745']
NSMCE2	NM_173685	['ENST00000287437']
NSMCE3	NM_138704	['ENST00000332303']
CFD	NM_001928	['ENST00000327726']
OBSCN	NM_052843	['ENST00000284548', 'ENST00000474237']
OBSCN	NM_001098623	['ENST00000422127', 'ENST00000570156']
HJV	NM_213653	['ENST00000336751']
PTK7	NM_152881	['ENST00000471863', 'ENST00000230419']
PTK6	NM_005975	['ENST00000217185']
PRKAA2	NM_006252	['ENST00000371244']
PRKAA1	NM_006251	['ENST00000397128']
MCL1	NM_021960	['ENST00000369026']
SORBS1	NM_001034954	['ENST00000371247', 'ENST00000371227']
SORBS3	NM_005775	['ENST00000240123']
SORBS2	NM_001270771	['ENST00000284776', 'ENST00000431808']
GAL3ST4	NM_024637	['ENST00000360039', 'ENST00000495882', 'ENST00000413800']
IL18RAP	NM_003853	['ENST00000264260']
ATG16L1	NM_017974	['ENST00000392017']
ATG16L2	NM_033388	['ENST00000540567', 'ENST00000321297', 'ENST00000534905', 'ENST00000439504', 'ENST00000435507']
ANOS1	NM_000216	['ENST00000262648']
MTHFS	NM_006441	['ENST00000258874']
USH1C	NM_153676	['ENST00000005226']
USH1C	NM_005709	['ENST00000318024', 'ENST00000527720']
NANS	NM_018946	['ENST00000210444', 'ENST00000427646']
USH1G	NM_173477	['ENST00000319642']
IL17REL	NM_001001694	['ENST00000389983']
MATN1	NM_002379	['ENST00000373765']
MATN3	NM_002381	['ENST00000407540']
MATN2	NM_002380	['ENST00000520016', 'ENST00000254898']
IL17RC	NM_153461	['ENST00000295981']
TANC1	NM_033394	['ENST00000263635', 'ENST00000464096', 'ENST00000470074']
AP2S1	NM_004069	['ENST00000263270']
TANC2	NM_025185	['ENST00000581143', 'ENST00000583545', 'ENST00000424789']
C15orf62	NM_001130448	['ENST00000344320']
CES2	NM_003869	['ENST00000317091']
EBF3	NM_001005463	['ENST00000355311', 'ENST00000368648']
KBTBD12	NM_207335	['ENST00000497045', 'ENST00000407609', 'ENST00000405256']
ADORA3	NM_000677	['ENST00000241356']
HBA1	NM_000558	['ENST00000320868']
UCP1	NM_021833	['ENST00000262999']
LMNA	NM_170707	['ENST00000368300']
LMNA	NM_005572	['ENST00000496738', 'ENST00000368301', 'ENST00000368300']
UCP3	NM_003356	['ENST00000314032']
ENDOV	NM_173627	['ENST00000518137']
FFAR4	NM_181745	['ENST00000371483']
BDH1	NM_004051	['ENST00000392378']
DDX23	NM_004818	['ENST00000308025']
DDX20	NM_007204	['ENST00000475700', 'ENST00000369702']
DDX27	NM_017895	['ENST00000371764']
ZNF157	NM_003446	['ENST00000377073']
DDX25	NM_013264	['ENST00000263576']
DDX24	NM_020414	['ENST00000330836']
IGDCC4	NM_020962	['ENST00000559327', 'ENST00000352385']
ZNF99	NM_001080409	['ENST00000397104']
FLVCR2	NM_017791	['ENST00000238667']
FKBP14	NM_017946	['ENST00000222803', 'ENST00000479939']
AFF4	NM_014423	['ENST00000265343', 'ENST00000465484', 'ENST00000378595']
UBE2J2	NM_194315	['ENST00000450390']
TBX21	NM_013351	['ENST00000177694']
TBX20	NM_001077653	['ENST00000408931']
FBXO10	NM_012166	['ENST00000432825']
FBXO11	NM_001190274	['ENST00000492225', 'ENST00000403359']
FBXO16	NM_172366	['ENST00000380254']
RAET1L	NM_130900	['ENST00000286380']
FBXO15	NM_001142958	['ENST00000419743', 'ENST00000580806']
PCK1	NM_002591	['ENST00000319441']
GGPS1	NM_001037277	['ENST00000358966', 'ENST00000282841']
CNGB1	NM_001297	['ENST00000564448']
CNGB3	NM_019098	['ENST00000320005']
RNPEPL1	NM_018226	['ENST00000270357']
PARD6A	NM_016948	['ENST00000458121']
PLA2G6	NM_003560	['ENST00000332509']
PLA2G7	NM_005084	['ENST00000274793', 'ENST00000538237']
PLA2G5	NM_000929	['ENST00000486277', 'ENST00000375108']
ATPAF2	NM_145691	['ENST00000497871', 'ENST00000462733', 'ENST00000474627']
ERBB3	NM_001982	['ENST00000549832', 'ENST00000551176', 'ENST00000267101', 'ENST00000415288']
KRTAP1-3	NM_030966	['ENST00000344363']
ERBB4	NM_005235	['ENST00000436443', 'ENST00000342788']
FPR1	NM_002029	['ENST00000304748']
CCDC78	NM_001031737	['ENST00000482878', 'ENST00000293889', 'ENST00000466708']
FOXH1	NM_003923	['ENST00000377317']
TMEM107	NM_032354	['ENST00000449985']
TMEM105	NM_178520	['ENST00000332900']
GHITM	NM_014394	['ENST00000372134']
CYP2B6	NM_000767	['ENST00000324071']
SPEN	NM_015001	['ENST00000375759']
SPEG	NM_005876	['ENST00000498378', 'ENST00000312358']
MANEAL	NM_001031740	['ENST00000397631']
FBLIM1	NM_001024215	['ENST00000441801']
TIMM8A	NM_004085	['ENST00000372902']
MET	NM_001127500	['ENST00000397752']
AHNAK	NM_001620	['ENST00000378024']
TBATA	NM_152710	['ENST00000456372', 'ENST00000299290', 'ENST00000545575']
NT5E	NM_002526	['ENST00000257770']
RHCG	NM_016321	['ENST00000268122', 'ENST00000560081', 'ENST00000558184']
LGALS9B	NM_001042685	['ENST00000324290', 'ENST00000423676']
UNC50	NM_014044	['ENST00000409975', 'ENST00000357765', 'ENST00000409347']
MAP1A	NM_002373	['ENST00000399453']
MAP1B	NM_005909	['ENST00000296755']
LBX2	NM_001009812	['ENST00000460508', 'ENST00000377566']
UNC5C	NM_003728	['ENST00000506749', 'ENST00000453304']
UNC5D	NM_080872	['ENST00000453357', 'ENST00000287272', 'ENST00000474634']
